Frame,Class,accuracy,Bounding Box
1.0,Spinning Top,0.8469214,"(447, 568, 180, 121)"
2.0,Spinning Top,0.84000075,"(446, 567, 181, 122)"
3.0,Spinning Top,0.93692416,"(507, 578, 181, 121)"
4.0,Spinning Top,0.93796873,"(507, 578, 181, 121)"
5.0,Spinning Top,0.9720981,"(605, 550, 117, 179)"
6.0,Spinning Top,0.970948,"(573, 580, 180, 117)"
7.0,Spinning Top,0.9811147,"(672, 542, 116, 180)"
8.0,Spinning Top,0.9815268,"(672, 542, 116, 180)"
9.0,Spinning Top,0.96875393,"(691, 555, 167, 101)"
10.0,Spinning Top,0.9677536,"(691, 555, 167, 101)"
11.0,Spinning Top,0.9434682,"(671, 528, 168, 95)"
12.0,Spinning Top,0.94416887,"(671, 528, 168, 95)"
13.0,Spinning Top,0.9617089,"(656, 528, 169, 93)"
14.0,Spinning Top,0.96104264,"(656, 528, 169, 94)"
15.0,Spinning Top,0.9160398,"(683, 497, 90, 168)"
16.0,Spinning Top,0.9155921,"(683, 497, 90, 168)"
17.0,Spinning Top,0.86455745,"(667, 487, 88, 170)"
18.0,Spinning Top,0.8564058,"(667, 487, 88, 170)"
19.0,Spinning Top,0.83915585,"(645, 485, 96, 166)"
20.0,Spinning Top,0.8414513,"(645, 485, 96, 166)"
21.0,Spinning Top,0.85447925,"(627, 472, 90, 169)"
22.0,Spinning Top,0.85704374,"(627, 472, 90, 169)"
23.0,Spinning Top,0.83287966,"(563, 503, 165, 92)"
24.0,Spinning Top,0.83399403,"(563, 503, 165, 92)"
25.0,Spinning Top,0.89939475,"(575, 462, 93, 167)"
26.0,Spinning Top,0.90352255,"(575, 462, 93, 167)"
27.0,Spinning Top,0.77155566,"(541, 459, 94, 168)"
28.0,Spinning Top,0.7715995,"(541, 459, 94, 168)"
29.0,Spinning Top,0.72518927,"(468, 494, 172, 96)"
30.0,Spinning Top,0.734639,"(468, 494, 172, 96)"
31.0,Spinning Top,0.6669411,"(434, 494, 172, 100)"
32.0,Spinning Top,0.6752761,"(434, 494, 172, 100)"
33.0,Spinning Top,0.5285398,"(435, 463, 102, 172)"
34.0,Spinning Top,0.52325344,"(435, 463, 102, 172)"
35.0,Non-Spinning Top,0.6183349,"(371, 504, 172, 104)"
36.0,Non-Spinning Top,0.6075928,"(371, 504, 172, 104)"
37.0,Non-Spinning Top,0.56116325,"(387, 475, 104, 174)"
38.0,Non-Spinning Top,0.5526671,"(387, 475, 104, 174)"
39.0,Spinning Top,0.5413248,"(375, 478, 104, 176)"
40.0,Spinning Top,0.5396147,"(375, 478, 104, 176)"
41.0,Spinning Top,0.6453365,"(372, 484, 106, 178)"
41.0,Spinning Top,0.6453365,"(1114, 293, 19, 62)"
41.0,Spinning Top,0.6453365,"(1089, 275, 10, 16)"
42.0,Spinning Top,0.65466064,"(372, 484, 106, 178)"
42.0,Spinning Top,0.65466064,"(1114, 293, 19, 62)"
42.0,Spinning Top,0.65466064,"(1089, 275, 10, 16)"
43.0,Spinning Top,0.54869413,"(379, 491, 104, 178)"
43.0,Spinning Top,0.54869413,"(1096, 302, 21, 60)"
44.0,Spinning Top,0.5499597,"(379, 491, 104, 178)"
44.0,Spinning Top,0.5499597,"(1096, 302, 21, 60)"
45.0,Spinning Top,0.5231733,"(392, 496, 104, 172)"
45.0,Spinning Top,0.5231733,"(1078, 319, 14, 39)"
45.0,Spinning Top,0.5231733,"(1103, 322, 20, 15)"
45.0,Spinning Top,0.5231733,"(1059, 288, 11, 18)"
46.0,Spinning Top,0.52407247,"(392, 496, 104, 172)"
46.0,Spinning Top,0.52407247,"(1078, 319, 14, 39)"
46.0,Spinning Top,0.52407247,"(1104, 322, 20, 16)"
46.0,Spinning Top,0.52407247,"(1059, 288, 11, 18)"
47.0,Non-Spinning Top,0.5786119,"(410, 496, 108, 176)"
47.0,Non-Spinning Top,0.5786119,"(1099, 309, 23, 34)"
47.0,Non-Spinning Top,0.5786119,"(1053, 244, 43, 10)"
48.0,Non-Spinning Top,0.5724362,"(410, 496, 108, 176)"
48.0,Non-Spinning Top,0.5724362,"(1099, 309, 23, 34)"
48.0,Non-Spinning Top,0.5724362,"(1053, 244, 43, 10)"
49.0,Spinning Top,0.52488524,"(403, 529, 172, 105)"
49.0,Spinning Top,0.52488524,"(1108, 310, 13, 27)"
49.0,Spinning Top,0.52488524,"(1071, 238, 38, 10)"
50.0,Spinning Top,0.5235968,"(403, 529, 172, 105)"
50.0,Spinning Top,0.5235968,"(1108, 310, 13, 27)"
50.0,Spinning Top,0.5235968,"(1071, 238, 38, 10)"
51.0,Spinning Top,0.6500889,"(470, 496, 100, 168)"
51.0,Spinning Top,0.6500889,"(1109, 299, 13, 44)"
51.0,Spinning Top,0.6500889,"(1080, 233, 39, 10)"
52.0,Spinning Top,0.6490173,"(470, 496, 100, 168)"
52.0,Spinning Top,0.6490173,"(1109, 299, 13, 44)"
52.0,Spinning Top,0.6490173,"(1080, 233, 39, 10)"
53.0,Spinning Top,0.6297893,"(497, 491, 106, 168)"
53.0,Spinning Top,0.6297893,"(1112, 295, 13, 43)"
54.0,Spinning Top,0.6272528,"(497, 491, 106, 168)"
54.0,Spinning Top,0.6272528,"(1112, 295, 13, 43)"
55.0,Spinning Top,0.5410394,"(531, 483, 104, 166)"
55.0,Spinning Top,0.5410394,"(1114, 295, 13, 37)"
55.0,Spinning Top,0.5410394,"(1080, 255, 12, 13)"
56.0,Spinning Top,0.53698266,"(531, 483, 104, 166)"
56.0,Spinning Top,0.53698266,"(1114, 295, 13, 37)"
56.0,Spinning Top,0.53698266,"(1080, 255, 12, 13)"
57.0,Spinning Top,0.6840623,"(564, 470, 98, 162)"
57.0,Spinning Top,0.6840623,"(1115, 292, 11, 37)"
57.0,Spinning Top,0.6840623,"(1079, 253, 13, 12)"
58.0,Spinning Top,0.687052,"(564, 470, 98, 162)"
58.0,Spinning Top,0.687052,"(1115, 292, 11, 37)"
58.0,Spinning Top,0.687052,"(1079, 253, 13, 12)"
59.0,Spinning Top,0.56805956,"(589, 457, 100, 158)"
59.0,Spinning Top,0.56805956,"(1115, 291, 11, 34)"
59.0,Spinning Top,0.56805956,"(1079, 251, 13, 12)"
60.0,Spinning Top,0.57135624,"(589, 457, 100, 158)"
60.0,Spinning Top,0.57135624,"(1115, 291, 11, 34)"
60.0,Spinning Top,0.57135624,"(1079, 251, 13, 12)"
61.0,Non-Spinning Top,0.56780034,"(616, 440, 99, 152)"
62.0,Non-Spinning Top,0.5635967,"(616, 440, 99, 152)"
63.0,Non-Spinning Top,0.5857726,"(645, 419, 96, 150)"
64.0,Non-Spinning Top,0.5862561,"(645, 419, 96, 150)"
65.0,Non-Spinning Top,0.575538,"(671, 397, 94, 148)"
66.0,Non-Spinning Top,0.57440895,"(671, 397, 94, 148)"
67.0,Spinning Top,0.5777498,"(697, 373, 90, 144)"
67.0,Spinning Top,0.5777498,"(1048, 198, 7, 23)"
68.0,Spinning Top,0.52125406,"(666, 399, 148, 91)"
68.0,Spinning Top,0.52125406,"(1029, 232, 20, 11)"
69.0,Spinning Top,0.50259775,"(691, 381, 141, 83)"
69.0,Spinning Top,0.50259775,"(1028, 231, 12, 13)"
70.0,Spinning Top,0.503126,"(691, 381, 141, 83)"
70.0,Spinning Top,0.503126,"(1028, 231, 12, 13)"
71.0,Spinning Top,0.682274,"(732, 350, 84, 140)"
72.0,Spinning Top,0.6774219,"(732, 350, 84, 140)"
73.0,Spinning Top,0.52399987,"(743, 362, 92, 142)"
74.0,Spinning Top,0.5137056,"(743, 362, 92, 142)"
75.0,Non-Spinning Top,0.57021713,"(759, 382, 90, 147)"
76.0,Non-Spinning Top,0.5708968,"(759, 382, 90, 147)"
77.0,Non-Spinning Top,0.5462391,"(777, 403, 98, 144)"
77.0,Non-Spinning Top,0.5462391,"(1109, 308, 20, 9)"
78.0,Non-Spinning Top,0.55520153,"(777, 403, 98, 144)"
78.0,Non-Spinning Top,0.55520153,"(1109, 308, 20, 9)"
79.0,Spinning Top,0.5464427,"(779, 440, 146, 95)"
80.0,Spinning Top,0.5532657,"(779, 440, 146, 95)"
81.0,Spinning Top,0.65882903,"(811, 462, 151, 92)"
82.0,Spinning Top,0.655775,"(811, 462, 151, 92)"
83.0,Non-Spinning Top,0.53761405,"(880, 450, 92, 152)"
84.0,Non-Spinning Top,0.53710496,"(880, 450, 92, 152)"
85.0,Non-Spinning Top,0.50383717,"(928, 464, 94, 150)"
